,Irr_angulo_medida,Irr_angulo_teorica,Irr_global_medida,Irr_global_teorica
2019-01-01 00:00:00,0,0.0,0.0,0.0
2019-01-01 01:00:00,0,0.0,0.0,0.0
2019-01-01 02:00:00,0,0.0,0.0,0.0
2019-01-01 03:00:00,0,0.0,0.0,0.0
2019-01-01 04:00:00,0,0.0,0.0,0.0
2019-01-01 05:00:00,0,0.0,0.0,0.0
2019-01-01 06:00:00,72,142.33830756719192,325.4681228770472,643.4247469081911
2019-01-01 07:00:00,338,384.21868902386313,769.977202824653,875.265181797483
2019-01-01 08:00:00,591,628.7400859763673,916.7280327052172,975.2684637902271
2019-01-01 09:00:00,821,848.0066343674115,995.8825031032541,1028.6418631936463
2019-01-01 10:00:00,1006,1022.8584523379348,1041.6819894371274,1059.138397160995
2019-01-01 11:00:00,1129,1139.3064274331973,1065.9259296819832,1075.6565658586271
2019-01-01 12:00:00,1181,1188.26274949324,1075.2898017463478,1081.9024693693111
2019-01-01 13:00:00,1158,1165.9320874490775,1071.7590044844633,1079.100356943796
2019-01-01 14:00:00,1062,1074.0370184252415,1054.7564887932447,1066.7114071451724
2019-01-01 15:00:00,900,919.6962717892784,1019.8066759459347,1042.1248864592144
2019-01-01 16:00:00,686,715.1361274686858,958.2522335465729,998.9515910156192
2019-01-01 17:00:00,430,477.36542671541076,829.7264600171072,921.1226177747293
2019-01-01 18:00:00,170,229.71919002416712,560.7492947791975,757.7345517841188
2019-01-01 19:00:00,0,0.0,0.0,0.0
2019-01-01 20:00:00,0,0.0,0.0,0.0
2019-01-01 21:00:00,0,0.0,0.0,0.0
2019-01-01 22:00:00,0,0.0,0.0,0.0
2019-01-01 23:00:00,0,0.0,0.0,0.0
2019-01-02 00:00:00,0,0.0,0.0,0.0
2019-01-02 01:00:00,0,0.0,0.0,0.0
2019-01-02 02:00:00,0,0.0,0.0,0.0
2019-01-02 03:00:00,0,0.0,0.0,0.0
2019-01-02 04:00:00,0,0.0,0.0,0.0
2019-01-02 05:00:00,0,0.0,0.0,0.0
2019-01-02 06:00:00,88,139.34853021835937,403.2147761716225,638.493027520913
2019-01-02 07:00:00,343,381.0382330257552,786.2908269330337,873.4894091513789
2019-01-02 08:00:00,605,625.8702138465205,941.9329020787924,974.426027856409
2019-01-02 09:00:00,814,845.6618267819719,989.6917032161653,1028.187338688874
2019-01-02 10:00:00,1067,1021.1718127380591,1106.4109737823335,1058.8900653520027
2019-01-02 11:00:00,1066,1138.3473373821985,1007.1837741580844,1075.539369200196
2019-01-02 12:00:00,1207,1188.0398716151753,1099.1493375264097,1081.8833784927763
2019-01-02 13:00:00,1196,1166.396351255925,1106.557891642326,1079.1681331647646
2019-01-02 14:00:00,1084,1075.0856676941141,1075.7171352486766,1066.87091752659
2019-01-02 15:00:00,916,921.1812523608911,1036.537327454093,1042.4003858329395
2019-01-02 16:00:00,699,716.8733682622953,974.4861022327242,999.4036257973796
2019-01-02 17:00:00,445,479.22098622413756,856.1073595329781,921.942950896935
2019-01-02 18:00:00,175,231.289279620297,574.5839645185238,759.4006356277924
2019-01-02 19:00:00,0,0.0,0.0,0.0
2019-01-02 20:00:00,0,0.0,0.0,0.0
2019-01-02 21:00:00,0,0.0,0.0,0.0
2019-01-02 22:00:00,0,0.0,0.0,0.0
2019-01-02 23:00:00,0,0.0,0.0,0.0
2019-01-03 00:00:00,0,0.0,0.0,0.0
2019-01-03 01:00:00,0,0.0,0.0,0.0
2019-01-03 02:00:00,0,0.0,0.0,0.0
2019-01-03 03:00:00,0,0.0,0.0,0.0
2019-01-03 04:00:00,0,0.0,0.0,0.0
2019-01-03 05:00:00,0,0.0,0.0,0.0
2019-01-03 06:00:00,74,136.34419304037553,343.80183717152624,633.4511358777072
2019-01-03 07:00:00,225,377.8358648607603,519.0854828135837,871.6849437134921
2019-01-03 08:00:00,558,622.9847893548781,872.0195209468529,973.5750852516431
2019-01-03 09:00:00,855,843.2398140962647,1042.049577788498,1027.7165991268585
2019-01-03 10:00:00,1064,1019.4762221651731,1104.874724346139,1058.6405168629592
2019-01-03 11:00:00,1182,1137.377242483236,1117.6132517124586,1075.4212169166149
2019-01-03 12:00:00,988,1187.8001810659828,899.8823686979563,1081.862794005585
2019-01-03 13:00:00,1260,1166.8523377661616,1165.3888315175782,1079.2354622721123
2019-01-03 14:00:00,1038,1076.096516541372,1029.2501022994643,1067.0254814395994
2019-01-03 15:00:00,658,922.6149907540658,743.6199161232291,1042.666993979593
2019-01-03 16:00:00,488,718.5456425348084,679.0402881223969,999.8390166719857
2019-01-03 17:00:00,329,480.92225769518603,631.2178300537474,922.6951487139954
2019-01-03 18:00:00,121,232.77638870653857,395.563132994907,760.9732033388321
2019-01-03 19:00:00,6,0.0,59.99999999999997,0.0
2019-01-03 20:00:00,0,0.0,0.0,0.0
2019-01-03 21:00:00,0,0.0,0.0,0.0
2019-01-03 22:00:00,0,0.0,0.0,0.0
2019-01-03 23:00:00,0,0.0,0.0,0.0
2019-01-04 00:00:00,0,0.0,0.0,0.0
2019-01-04 01:00:00,0,0.0,0.0,0.0
2019-01-04 02:00:00,0,0.0,0.0,0.0
2019-01-04 03:00:00,0,0.0,0.0,0.0
2019-01-04 04:00:00,0,0.0,0.0,0.0
2019-01-04 05:00:00,0,0.0,0.0,0.0
2019-01-04 06:00:00,127,133.3282941800188,598.4793888664238,628.3010710193734
