,Irr_angulo_medida,Irr_angulo_teorica,Irr_global_medida,Irr_global_teorica
2019-01-01 00:00:00,0,0.0,0.0,0.0
2019-01-01 01:00:00,0,0.0,0.0,0.0
2019-01-01 02:00:00,0,0.0,0.0,0.0
2019-01-01 03:00:00,0,0.0,0.0,0.0
2019-01-01 04:00:00,0,0.0,0.0,0.0
2019-01-01 05:00:00,0,0.0,0.0,0.0
2019-01-01 06:00:00,0,0.0,0.0,0.0
2019-01-01 07:00:00,18,0.0,147.49410709341188,0.0
2019-01-01 08:00:00,157,147.13991266101254,521.4056004690591,488.6597102801283
2019-01-01 09:00:00,317,304.87844592867015,701.7435098967828,674.9100023276388
2019-01-01 10:00:00,443,428.84545688760676,786.0645744965924,760.9485814743869
2019-01-01 11:00:00,516,503.131272577557,820.2882946333854,799.8308014716457
2019-01-01 12:00:00,526,519.9112890399019,817.1338233228296,807.6750939199159
2019-01-01 13:00:00,480,477.48087975906645,791.3749030363545,787.2216352521758
2019-01-01 14:00:00,377,380.173346202055,724.8702710546002,730.97176792896
2019-01-01 15:00:00,228,238.83926188566656,584.2409132051856,612.016089795326
2019-01-01 16:00:00,63,76.53657540529841,278.9445326520082,338.8803056700976
2019-01-01 17:00:00,0,0.0,0.0,0.0
2019-01-01 18:00:00,0,0.0,0.0,0.0
2019-01-01 19:00:00,0,0.0,0.0,0.0
2019-01-01 20:00:00,0,0.0,0.0,0.0
2019-01-01 21:00:00,0,0.0,0.0,0.0
2019-01-01 22:00:00,0,0.0,0.0,0.0
2019-01-01 23:00:00,0,0.0,0.0,0.0
2019-01-02 00:00:00,0,0.0,0.0,0.0
2019-01-02 01:00:00,0,0.0,0.0,0.0
2019-01-02 02:00:00,0,0.0,0.0,0.0
2019-01-02 03:00:00,0,0.0,0.0,0.0
2019-01-02 04:00:00,0,0.0,0.0,0.0
2019-01-02 05:00:00,0,0.0,0.0,0.0
2019-01-02 06:00:00,0,0.0,0.0,0.0
2019-01-02 07:00:00,17,0.0,140.0437516725319,0.0
2019-01-02 08:00:00,155,146.9285341203897,515.2261927084547,488.39631764569464
2019-01-02 09:00:00,315,305.1389086814871,697.0130335548811,675.1930044308227
2019-01-02 10:00:00,440,429.6989457545464,779.7434727614603,761.4885186467917
2019-01-02 11:00:00,514,504.61865145080634,815.4653397902135,800.5817511085819
2019-01-02 12:00:00,525,522.0110440760297,813.3074173084733,808.6770553599531
2019-01-02 13:00:00,479,480.1118304696795,786.7711443553228,788.5973575723559
2019-01-02 14:00:00,376,383.19388708162074,719.2505814384807,733.0117715083172
2019-01-02 15:00:00,228,242.02402189179097,579.846880346825,615.5126055392398
2019-01-02 16:00:00,64,79.30574180715573,279.52205185573996,346.3703699043392
2019-01-02 17:00:00,0,0.0,0.0,0.0
2019-01-02 18:00:00,0,0.0,0.0,0.0
2019-01-02 19:00:00,0,0.0,0.0,0.0
2019-01-02 20:00:00,0,0.0,0.0,0.0
2019-01-02 21:00:00,0,0.0,0.0,0.0
2019-01-02 22:00:00,0,0.0,0.0,0.0
2019-01-02 23:00:00,0,0.0,0.0,0.0
2019-01-03 00:00:00,0,0.0,0.0,0.0
2019-01-03 01:00:00,0,0.0,0.0,0.0
2019-01-03 02:00:00,0,0.0,0.0,0.0
2019-01-03 03:00:00,0,0.0,0.0,0.0
2019-01-03 04:00:00,0,0.0,0.0,0.0
2019-01-03 05:00:00,0,0.0,0.0,0.0
2019-01-03 06:00:00,0,0.0,0.0,0.0
2019-01-03 07:00:00,16,0.0,132.39763231836258,0.0
2019-01-03 08:00:00,150,146.83164519112722,498.8695618497537,488.3322566811742
2019-01-03 09:00:00,307,305.4885446166788,678.8977697940138,675.5553473546655
2019-01-03 10:00:00,430,430.68501302213406,760.8943584942995,762.1065039455482
2019-01-03 11:00:00,489,506.23763490473095,774.1073543305209,801.3952478908824
2019-01-03 12:00:00,464,524.237039850504,716.6923809274306,809.7342505620818
2019-01-03 13:00:00,407,482.8917875194358,665.8781210089529,790.0419560788611
2019-01-03 14:00:00,321,386.3200117465171,610.812098603835,735.1057230764744
2019-01-03 15:00:00,205,245.30121293022205,517.3578248248463,619.0658631632982
2019-01-03 16:00:00,55,82.16399878256436,236.9243043630147,353.93905918622994
2019-01-03 17:00:00,0,0.0,0.0,0.0
2019-01-03 18:00:00,0,0.0,0.0,0.0
2019-01-03 19:00:00,0,0.0,0.0,0.0
2019-01-03 20:00:00,0,0.0,0.0,0.0
2019-01-03 21:00:00,0,0.0,0.0,0.0
2019-01-03 22:00:00,0,0.0,0.0,0.0
2019-01-03 23:00:00,0,0.0,0.0,0.0
2019-01-04 00:00:00,0,0.0,0.0,0.0
2019-01-04 01:00:00,0,0.0,0.0,0.0
2019-01-04 02:00:00,0,0.0,0.0,0.0
2019-01-04 03:00:00,0,0.0,0.0,0.0
2019-01-04 04:00:00,0,0.0,0.0,0.0
2019-01-04 05:00:00,0,0.0,0.0,0.0
2019-01-04 06:00:00,0,0.0,0.0,0.0
2019-01-04 07:00:00,17,0.0,141.18227280789077,0.0
2019-01-04 08:00:00,150,146.8493968187476,498.94790861348474,488.46799615910567
2019-01-04 09:00:00,307,306.00547329806557,678.2587244258023,676.0615048418887
2019-01-04 10:00:00,438,431.7792847099883,773.7778196684192,762.7882043399187
2019-01-04 11:00:00,513,507.9872291493707,810.1867788804055,802.2700524306259
2019-01-04 12:00:00,526,526.5878948749385,809.9398957339066,810.8451419576901
