,Irr_angulo_medida,Irr_angulo_teorica,Irr_global_medida,Irr_global_teorica
2019-01-01 00:00:00,0,0.0,0.0,0.0
2019-01-01 01:00:00,0,0.0,0.0,0.0
2019-01-01 02:00:00,0,0.0,0.0,0.0
2019-01-01 03:00:00,0,0.0,0.0,0.0
2019-01-01 04:00:00,0,0.0,0.0,0.0
2019-01-01 05:00:00,0,0.0,0.0,0.0
2019-01-01 06:00:00,75,71.20995921051552,361.8159193051618,343.53195807247664
2019-01-01 07:00:00,285,298.31902340196643,652.378772014736,682.8666601951234
2019-01-01 08:00:00,501,525.2337375183165,781.6657083752581,819.4754520954875
2019-01-01 09:00:00,678,715.9289931909206,841.5445400142758,888.6226183742431
2019-01-01 10:00:00,780,850.5558890351149,848.0921347195357,924.8073841411067
2019-01-01 11:00:00,823,916.8743182369274,843.7764075665018,940.0205570254436
2019-01-01 12:00:00,883,909.0959227581313,911.376996562973,938.311564746263
2019-01-01 13:00:00,807,827.8452115835153,896.093268507969,919.2398035520982
2019-01-01 14:00:00,661,680.3090570594516,852.670312640401,877.5784211421769
2019-01-01 15:00:00,458,480.1760974721852,761.6979187608231,798.5788953782916
2019-01-01 16:00:00,228,249.15406252965732,583.6489279497496,637.8004451305236
2019-01-01 17:00:00,36,33.9199361852404,228.50361534445597,215.30077918279625
2019-01-01 18:00:00,0,0.0,0.0,0.0
2019-01-01 19:00:00,0,0.0,0.0,0.0
2019-01-01 20:00:00,0,0.0,0.0,0.0
2019-01-01 21:00:00,0,0.0,0.0,0.0
2019-01-01 22:00:00,0,0.0,0.0,0.0
2019-01-01 23:00:00,0,0.0,0.0,0.0
2019-01-02 00:00:00,0,0.0,0.0,0.0
2019-01-02 01:00:00,0,0.0,0.0,0.0
2019-01-02 02:00:00,0,0.0,0.0,0.0
2019-01-02 03:00:00,0,0.0,0.0,0.0
2019-01-02 04:00:00,0,0.0,0.0,0.0
2019-01-02 05:00:00,0,0.0,0.0,0.0
2019-01-02 06:00:00,76,69.49790905176295,370.31403966716744,338.63225591289125
2019-01-02 07:00:00,291,296.5057228169103,668.6955032970039,681.3472286924252
2019-01-02 08:00:00,516,523.876173161669,806.5661827454209,818.8775294928031
2019-01-02 09:00:00,703,715.2270270702725,873.224026873126,888.4116994406795
2019-01-02 10:00:00,844,850.6099180200143,917.6338069390358,924.8203996360272
2019-01-02 11:00:00,901,917.7092613125442,923.0840604306336,940.2028759458163
2019-01-02 12:00:00,870,910.6679204575355,896.7405834384828,938.6584854135634
2019-01-02 13:00:00,758,830.0463428238628,839.9522651217,919.7880023890324
2019-01-02 14:00:00,624,682.9723107768571,802.5797439199641,878.4290741790321
2019-01-02 15:00:00,443,483.07564442823946,733.6256769456901,799.9925432497577
2019-01-02 16:00:00,206,251.9738282483682,523.7393737324661,640.6243446785065
2019-01-02 17:00:00,34,35.666036091907436,212.16676827499285,222.5631651411546
2019-01-02 18:00:00,0,0.0,0.0,0.0
2019-01-02 19:00:00,0,0.0,0.0,0.0
2019-01-02 20:00:00,0,0.0,0.0,0.0
2019-01-02 21:00:00,0,0.0,0.0,0.0
2019-01-02 22:00:00,0,0.0,0.0,0.0
2019-01-02 23:00:00,0,0.0,0.0,0.0
2019-01-03 00:00:00,0,0.0,0.0,0.0
2019-01-03 01:00:00,0,0.0,0.0,0.0
2019-01-03 02:00:00,0,0.0,0.0,0.0
2019-01-03 03:00:00,0,0.0,0.0,0.0
2019-01-03 04:00:00,0,0.0,0.0,0.0
2019-01-03 05:00:00,0,0.0,0.0,0.0
2019-01-03 06:00:00,56,67.83528018545863,275.562347236045,333.80087559499555
2019-01-03 07:00:00,154,294.7527198191788,355.21236952803497,679.8689092974255
2019-01-03 08:00:00,180,522.5883561726241,281.85769442010684,818.3086066756078
2019-01-03 09:00:00,274,714.5501740016414,340.5905174900185,888.2080785978167
2019-01-03 10:00:00,461,850.738308344962,501.160528860904,924.8513243652753
2019-01-03 11:00:00,789,918.6138748838804,807.7123036274163,940.4001635317697
2019-01-03 12:00:00,780,912.3007830829963,802.8427269694566,939.0180109060558
2019-01-03 13:00:00,687,832.3382508447954,759.6492590400736,920.3568202692283
2019-01-03 14:00:00,602,685.6699476485941,771.9901732945585,879.286481242706
2019-01-03 15:00:00,445,485.9945171900438,733.8055194007471,801.40552609563
2019-01-03 16:00:00,224,254.8000180495696,565.6461793389468,643.4225745769362
2019-01-03 17:00:00,36,37.39362246067674,221.039076960789,229.59588313689486
2019-01-03 18:00:00,0,0.0,0.0,0.0
2019-01-03 19:00:00,0,0.0,0.0,0.0
2019-01-03 20:00:00,0,0.0,0.0,0.0
2019-01-03 21:00:00,0,0.0,0.0,0.0
2019-01-03 22:00:00,0,0.0,0.0,0.0
2019-01-03 23:00:00,0,0.0,0.0,0.0
2019-01-04 00:00:00,0,0.0,0.0,0.0
2019-01-04 01:00:00,0,0.0,0.0,0.0
2019-01-04 02:00:00,0,0.0,0.0,0.0
2019-01-04 03:00:00,0,0.0,0.0,0.0
2019-01-04 04:00:00,0,0.0,0.0,0.0
2019-01-04 05:00:00,0,0.0,0.0,0.0
2019-01-04 06:00:00,68,66.22271741262585,337.87509475032783,329.0442194178697
2019-01-04 07:00:00,246,293.06092924686584,569.4877248025578,678.4333407533373
2019-01-04 08:00:00,438,521.3708378046663,687.0021880291541,817.7691925716871
2019-01-04 09:00:00,673,713.9972682781516,837.0507837747405,888.0415646734778
