,Irr_angulo_medida,Irr_angulo_teorica,Irr_global_medida,Irr_global_teorica
2019-01-01 00:00:00,0,0.0,0.0,0.0
2019-01-01 01:00:00,0,0.0,0.0,0.0
2019-01-01 02:00:00,0,0.0,0.0,0.0
2019-01-01 03:00:00,0,0.0,0.0,0.0
2019-01-01 04:00:00,0,0.0,0.0,0.0
2019-01-01 05:00:00,0,0.0,0.0,0.0
2019-01-01 06:00:00,20,33.23671329776329,99.95598414579574,166.11041937247927
2019-01-01 07:00:00,240,262.00974064760686,553.3082956878809,604.0506793806294
2019-01-01 08:00:00,472,497.05869813316,732.3095391507501,771.1881910185725
2019-01-01 09:00:00,673,698.2304252521338,822.6123511626502,853.4516668201409
2019-01-01 10:00:00,819,845.257001173766,868.8808382487615,896.7370106416314
2019-01-01 11:00:00,898,925.0717984324783,889.5337955673156,916.3503652916761
2019-01-01 12:00:00,902,930.8444003533001,889.2473291925667,917.6839211840669
2019-01-01 13:00:00,830,862.0450385937745,867.5676078481416,901.0630746869396
2019-01-01 14:00:00,691,724.5845481965608,822.0784085176658,862.0337369289733
2019-01-01 15:00:00,496,530.6074450744208,736.125539799028,787.4872821104659
2019-01-01 16:00:00,268,299.03325639343143,572.9110616281434,639.2517178450805
2019-01-01 17:00:00,65,62.81450153110461,274.8827525314781,265.6403550732736
2019-01-01 18:00:00,0,0.0,0.0,0.0
2019-01-01 19:00:00,0,0.0,0.0,0.0
2019-01-01 20:00:00,0,0.0,0.0,0.0
2019-01-01 21:00:00,0,0.0,0.0,0.0
2019-01-01 22:00:00,0,0.0,0.0,0.0
2019-01-01 23:00:00,0,0.0,0.0,0.0
2019-01-02 00:00:00,0,0.0,0.0,0.0
2019-01-02 01:00:00,0,0.0,0.0,0.0
2019-01-02 02:00:00,0,0.0,0.0,0.0
2019-01-02 03:00:00,0,0.0,0.0,0.0
2019-01-02 04:00:00,0,0.0,0.0,0.0
2019-01-02 05:00:00,0,0.0,0.0,0.0
2019-01-02 06:00:00,20,31.691964744674117,101.1107975697752,160.2199915943599
2019-01-02 07:00:00,243,260.00348949247535,562.7424929370939,602.1193903264982
2019-01-02 08:00:00,477,495.45724737099675,741.7500048617467,770.4516051283531
2019-01-02 09:00:00,495,697.2545115788466,605.6955994352799,853.1797764640461
2019-01-02 10:00:00,502,845.0234753480933,532.7112179261367,896.7200891013138
2019-01-02 11:00:00,433,925.6210683624719,428.74144286567025,916.5175805925851
2019-01-02 12:00:00,771,932.1476176285415,759.3171592100456,918.0229325319275
2019-01-02 13:00:00,837,864.009353775928,873.4201884990069,901.6047940739262
2019-01-02 14:00:00,697,727.0595169359042,827.1958098857494,862.8702811290343
2019-01-02 15:00:00,501,533.3910824068297,740.947888567993,788.8522880046643
2019-01-02 16:00:00,273,301.86701478719806,580.4838358933541,641.8641856166615
2019-01-02 17:00:00,68,65.19263141925208,284.48321488048293,272.73837312745894
2019-01-02 18:00:00,0,0.0,0.0,0.0
2019-01-02 19:00:00,0,0.0,0.0,0.0
2019-01-02 20:00:00,0,0.0,0.0,0.0
2019-01-02 21:00:00,0,0.0,0.0,0.0
2019-01-02 22:00:00,0,0.0,0.0,0.0
2019-01-02 23:00:00,0,0.0,0.0,0.0
2019-01-03 00:00:00,0,0.0,0.0,0.0
2019-01-03 01:00:00,0,0.0,0.0,0.0
2019-01-03 02:00:00,0,0.0,0.0,0.0
2019-01-03 03:00:00,0,0.0,0.0,0.0
2019-01-03 04:00:00,0,0.0,0.0,0.0
2019-01-03 05:00:00,0,0.0,0.0,0.0
2019-01-03 06:00:00,19,30.206292151154578,97.1618064131128,154.46831107623208
2019-01-03 07:00:00,244,258.0507622886502,567.554036835327,600.2366878908065
2019-01-03 08:00:00,478,493.9166132204093,744.9429977159123,769.7483733767834
2019-01-03 09:00:00,682,696.2897493074809,835.4110561269976,852.9151830489221
2019-01-03 10:00:00,640,844.8549055461095,679.2915968290415,896.7231841832279
2019-01-03 11:00:00,910,926.2310028335935,900.6374484789054,916.701458345171
2019-01-03 12:00:00,914,933.5032330353969,899.1888384573966,918.3760260495876
2019-01-03 13:00:00,842,866.0522530961016,877.1126020256128,902.1678684124304
2019-01-03 14:00:00,701,729.5615776678475,829.9016383508201,863.7151905625617
2019-01-03 15:00:00,505,536.18729043925,744.256106809338,790.21913921379
2019-01-03 16:00:00,276,304.70046246813496,583.7550857425462,644.4581325865203
2019-01-03 17:00:00,69,67.508787794839,285.717189115988,279.54233462853796
2019-01-03 18:00:00,0,0.0,0.0,0.0
2019-01-03 19:00:00,0,0.0,0.0,0.0
2019-01-03 20:00:00,0,0.0,0.0,0.0
2019-01-03 21:00:00,0,0.0,0.0,0.0
2019-01-03 22:00:00,0,0.0,0.0,0.0
2019-01-03 23:00:00,0,0.0,0.0,0.0
2019-01-04 00:00:00,0,0.0,0.0,0.0
2019-01-04 01:00:00,0,0.0,0.0,0.0
2019-01-04 02:00:00,0,0.0,0.0,0.0
2019-01-04 03:00:00,0,0.0,0.0,0.0
2019-01-04 04:00:00,0,0.0,0.0,0.0
2019-01-04 05:00:00,0,0.0,0.0,0.0
2019-01-04 06:00:00,19,28.78014853527755,98.2768664920916,148.864358696002
2019-01-04 07:00:00,240,256.15264213554144,560.6701639041333,598.4047660442119
2019-01-04 08:00:00,473,492.4374971148164,738.7220666625808,769.0791661116401
2019-01-04 09:00:00,676,695.4440169405847,828.8529097995977,852.6934867513675
